fecha,dia,enviados_totales,cobrados_totales,vendidos_totales,devueltos_totales,suscripciones_totales,tiendas_conveniencia,tiendas_barrio,sectoristas,titulo,,,,,,,,,,,,
2/13/22,Sunday,99280,97418,89295,8006,861,627,1302,96490,"DE FINAL DE FUTBOL, A TRIPLE CRIMEN. TRAS QUEDAR CAMPEONES, MATAN A DUEÃ‘O DE EQUIPO, ESPOSA Y A JUGADOR, EN LA CAPITAL",,,,,,,,,,,,
2/14/22,Monday,104678,102281,94016,8158,861,667,1546,101604,"ASESINADO A GOLPES. LADRONES SE LLEVAN PERTENENCIAS DE JOVEN, EN VILLA NUEVA",,,,,,,,,,,,
2/15/22,Tuesday,96817,94401,86948,7401,862,621,1540,93794,MARCO PAPPA PIDE PERDON. CINCO AÃ‘OS DE CÃRCEL PARA EXFUTBOLISTA POR REINCIDENCIA,,,,,,,,,,,,
2/16/22,Wednesday,95587,93160,83032,9363,868,623,1551,92545,CAPTURADOS. SACAN DE SU CASA AL EXPRESIDENTE HONDUREÃ‘O JUAN ORLANDO HERNÃNDEZ PARA EXTRADITARLO,,,,,,,,,,,,
2/17/22,Thursday,105772,103251,94272,8694,862,664,1556,102690,BAJADA DE LA MUERTE. TRÃILER IMPACTA CONTRA SEIS VEHÃCULOS,,,,,,,,,,,,
2/18/22,Friday,96839,92626,85493,6981,852,624,1544,93819,,,,,,,,,,,,,
2/19/22,Saturday,95611,93709,85870,7815,842,631,1418,92720,GASOLINA POR LAS NUBES. Q.35 POR GALÃ“N. PRECIO DE LOS COMBUSTIBLES SIGUE AL ALZA Y PONE TODO MÃS CARO,,,,,,,,,,,,
2/20/22,Sunday,98642,96565,88898,7550,842,632,1274,95894,MAÃ‘ANA EMPIEZAN LAS CLASES. ESTE LUNES SE INICIA EL CICLO ESCOLAR 2022 Y SOLO EN 116 MUNICIPIOS DEL PAÃS SERÃAN PRESENCIALES.,,,,,,,,,,,,
2/21/22,Monday,102993,99848,91832,8016,852,672,1538,99931,"MENSAJERO DE LA MUERTE. 10 MESES DESPUÃ‰S DE CUMPLIR CONDENA POR HOMICIDIO, REGRESA A PRISIÃ“N POR ASESINAR A TAXISTA EN LA CAPITA",,,,,,,,,,,,
2/22/22,Tuesday,95456,93067,84355,8573,852,626,1532,92446,"ACCIDENTADO REGRESO A CLASES. ALUMNOS DE LOS ESTABLECIMIENTOS PÃšBLICOS COMIENZAN CICLO ESCOLAR ENTRE CARENCIAS, MALA INFRAESTRUC",,,,,,,,,,,,
2/23/22,Wednesday,96454,93967,82766,10676,861,651,1541,93401,SUBE EL PRECIO DEL PAN! HASTA EL FRANCÃ‰S CON FRIJOLES SE VUELVE UN LUJO,,,,,,,,,,,,
2/24/22,Thursday,97326,94927,88473,6386,860,692,1538,94236,"CAPTURAN A MÃ‰DICO VIOLADOR. DÃA VIOLENTO CONTRA MUJERES EN MENOS DE 24 HORAS, 5 MUERTES Y 2 VICTIMAS DE ABUSO SEXUAL.",,,,,,,,,,,,
2/25/22,Friday,104648,100127,94152,5975,860,649,1556,101583,ESTALLA LA GUERRA. RUSIA LANZA CIENTOS DE MISILES Y AVANZA EN SU INVASIÃ“N A UCRANIA.,,,,,,,,,,,,
